start_time	channel_number	read_number	template_events	complement_events
1480018401	108	39	0	0
1480020188	263	268	0	0
1480021259	351	184	0	0
1480018647	507	49	0	0
1480021858	210	176	0	0
1480022636	181	339	0	0
1480024226	253	303	0	0
1480019709	499	80	0	0
1480023785	115	296	0	0
1480021086	143	164	0	0
1480019200	40	81	0	0
1480018538	197	55	0	0
1480022586	41	284	0	0
1480020779	108	140	0	0
1480022606	312	279	0	0
1480021291	166	188	0	0
1480019438	54	73	0	0
1480020359	461	143	0	0
1480019892	492	116	0	0
1480019041	94	76	0	0
1480023015	365	243	0	0
1480018587	490	26	0	0
1480017946	270	11	0	0
1480023189	249	177	0	0
1480017922	165	12	0	0
1480019084	358	87	0	0
1480020705	444	150	0	0
1480020955	324	179	0	0
1480023864	150	277	0	0
1480018199	444	29	0	0
1480022313	261	202	0	0
1480021306	181	249	0	0
1480021565	238	204	0	0
1480017967	212	14	0	0
1480018825	18	27	0	0
1480018481	197	52	0	0
1480020252	314	130	0	0
1480020376	318	135	0	0
1480020220	362	89	0	0
1480023153	505	260	0	0
1480019936	236	104	0	0
1480020457	291	17324	0	0
1480022548	204	175	0	0
1480019631	481	92	0	0
1480019368	419	63	0	0
1480018200	348	26	0	0
1480023545	35	350	0	0
1480020121	76	125	0	0
1480018223	319	26	0	0
1480022975	113	248	0	0
1480018804	56	50	0	0
1480021468	362	153	0	0
1480018686	238	44	0	0
1480019850	5	109	0	0
1480018164	91	30	0	0
1480023081	40	270	0	0
1480022801	3	212	0	0
1480020779	437	174	0	0
1480024183	505	298	0	0
1480019899	373	90	0	0
1480020649	491	177	0	0
1480021678	351	213	0	0
1480017792	274	7	0	0
1480019598	26	85	0	0
1480022760	52	252	0	0
1480018645	268	56	0	0
1480020371	188	136	0	0
1480020245	68	150	0	0
1480024627	189	406	0	0
1480019029	102	51	0	0
1480023781	352	310	0	0
1480021963	383	259	0	0
1480017904	351	7	0	0
1480018624	306	44	0	0
1480022558	261	217	0	0
1480022484	205	194	0	0
1480018292	263	39	0	0
1480018480	271	44	0	0
1480022581	162	213	0	0
1480020123	485	134	0	0
1480019857	1	86	0	0
1480020487	505	148	0	0
1480022225	357	227	0	0
1480019832	497	116	0	0
1480019311	396	53	0	0
1480022052	477	205	0	0
1480021483	279	179	0	0
1480023754	398	239	0	0
1480018756	184	28	0	0
1480018721	357	43	0	0
1480024649	305	379	0	0
1480019443	8	75	0	0
1480024381	470	282	0	0
1480020071	126	82	0	0
1480020291	293	126	0	0
1480024588	481	398	0	0
1480018001	164	15	0	0
1480019762	207	101	0	0
1480023289	103	337	0	0
1480018432	353	17	0	0
1480022080	59	290	0	0
1480018461	424	48	0	0
1480019862	359	120	0	0
1480019939	204	85	0	0
1480023073	75	239	0	0
1480023743	348	259	0	0
1480018645	292	48	0	0
1480018724	253	58	0	0
1480018951	155	66	0	0
1480018995	105	73	0	0
1480019437	505	78	0	0
1480023153	103	330	0	0
1480020245	367	88	0	0
1480018973	452	40	0	0
1480024439	180	320	0	0
1480022159	217	221	0	0
1480020800	241	179	0	0
1480018215	248	29	0	0
1480023616	369	191	0	0
1480023398	505	275	0	0
1480019317	355	98	0	0
1480020023	33	129	0	0
1480023992	217	303	0	0
1480018291	195	31	0	0
1480022096	162	184	0	0
1480017994	241	22	0	0
1480019464	420	104	0	0
1480021858	106	252	0	0
1480018800	208	53	0	0
1480021364	98	115	0	0
1480021620	86	198	0	0
1480024353	175	337	0	0
1480018572	463	57	0	0
1480021633	280	251	0	0
1480020205	482	128	0	0
1480018094	512	20	0	0
1480018513	41	48	0	0
1480022414	263	369	0	0
1480023153	241	302	0	0
1480018154	458	19	0	0
1480022343	491	269	0	0
1480020331	485	150	0	0
1480018171	409	19	0	0
1480021217	473	145	0	0
1480021242	444	174	0	0
1480021995	253	205	0	0
1480020843	55	166	0	0
1480019040	106	74	0	0
1480018831	307	67	0	0
1480021144	91	157	0	0
1480023518	289	213	0	0
1480020529	286	118	0	0
1480020023	195	106	0	0
1480021573	217	180	0	0
1480022097	445	210	0	0
1480021971	70	175	0	0
1480018137	150	16	0	0
1480017900	491	10	0	0
1480019861	403	76	0	0
1480019364	223	44	0	0
1480021609	18	164	0	0
1480019507	273	51	0	0
1480020296	26	110	0	0
1480019130	261	79	0	0
1480018165	325	29	0	0
1480022034	92	164	0	0
1480017936	448	15	0	0
1480023964	476	295	0	0
1480018170	65	23	0	0
1480023505	164	256	0	0
1480019741	139	91	0	0
1480021979	164	203	0	0
1480022671	324	298	0	0
1480018982	147	80	0	0
1480023052	426	283	0	0
1480022168	192	243	0	0
1480018458	195	52	0	0
1480018775	35	63	0	0
1480021121	103	224	0	0
1480023689	96	212	0	0
1480019418	347	86	0	0
1480021749	14	199	0	0
1480021356	130	131	0	0
1480024135	166	296	0	0
1480020641	41	165	0	0
1480020132	355	146	0	0
1480023392	98	228	0	0
1480021133	110	137	0	0
1480018432	192	62	0	0
1480021993	164	204	0	0
1480020186	475	136	0	0
1480021971	324	260	0	0
1480022172	40	206	0	0
1480018161	354	16	0	0
1480019189	368	90	0	0
1480020690	208	154	0	0
1480022680	475	219	0	0
1480020337	222	136	0	0
1480018822	451	55	0	0
1480018515	158	48	0	0
1480021095	180	149	0	0
1480024167	322	5633	0	0
1480019381	296	92	0	0
1480021127	35	186	0	0
1480020878	20	189	0	0
1480019040	75	68	0	0
1480018049	107	21	0	0
1480024334	396	302	0	0
1480023396	362	258	0	0
1480021810	182	171	0	0
1480022761	56	228	0	0
1480019218	170	91	0	0
1480019560	463	118	0	0
1480022461	423	146	0	0
1480020598	316	139	0	0
1480024531	280	417	0	0
1480017874	215	12	0	0
1480019854	438	121	0	0
1480022991	33	312	0	0
1480024738	99	341	0	0
1480021247	415	214	0	0
1480018680	197	63	0	0
1480020973	206	214	0	0
1480023300	349	306	0	0
1480020808	392	151	0	0
1480019054	371	85	0	0
1480022922	447	318	0	0
1480021419	353	175	0	0
1480021691	128	170	0	0
1480019876	208	114	0	0
1480021402	125	181	0	0
1480021603	475	176	0	0
1480018750	188	41	0	0
1480024732	144	411	0	0
1480020875	110	122	0	0
1480022822	237	203	0	0
1480019270	318	57	0	0
1480019290	261	94	0	0
1480018819	437	56	0	0
1480018033	205	19	0	0
1480017775	29	4	0	0
1480019455	168	84	0	0
1480021965	35	244	0	0
1480022980	408	325	0	0
1480024355	59	396	0	0
1480020049	28	138	0	0
1480018088	83	29	0	0
1480024377	272	248	0	0
1480017882	405	14	0	0
1480019836	119	135	0	0
1480023740	259	299	0	0
1480021566	306	219	0	0
1480019372	97	76	0	0
1480018147	269	27	0	0
1480019862	383	147	0	0
1480021530	445	192	0	0
1480021501	270	225	0	0
1480023153	216	286	0	0
1480023857	309	328	0	0
1480018378	215	30	0	0
1480021446	374	183	0	0
1480019230	358	94	0	0
1480024051	241	335	0	0
1480019192	198	97	0	0
1480021940	147	206	0	0
1480022422	280	311	0	0
1480018720	67	30	0	0
1480020004	86	105	0	0
1480019342	67	65	0	0
1480024060	498	339	0	0
1480017928	209	24	0	0
1480018037	512	17	0	0
1480020610	70	110	0	0
1480018580	397	47	0	0
1480019996	59	153	0	0
1480021298	484	95	0	0
1480020866	463	197	0	0
1480018427	420	48	0	0
1480018495	162	36	0	0
1480022322	198	257	0	0
1480018987	465	45	0	0
1480019913	219	120	0	0
1480017798	177	5	0	0
1480018145	399	29	0	0
1480020549	207	152	0	0
1480020520	505	149	0	0
1480020443	263	284	0	0
1480023743	54	267	0	0
1480022473	396	202	0	0
1480022031	477	203	0	0
1480022300	422	200	0	0
1480020214	299	99	0	0
1480018240	163	24	0	0
1480018571	479	51	0	0
1480018449	157	43	0	0
1480021272	83	142	0	0
1480018706	384	28	0	0
1480017776	58	6	0	0
1480019013	378	54	0	0
1480023623	68	281	0	0
1480020131	334	122	0	0
1480018534	226	32	0	0
1480021726	238	210	0	0
1480017965	106	16	0	0
1480018055	456	15	0	0
1480019597	233	105	0	0
1480023405	118	274	0	0
1480017986	305	26	0	0
1480019783	400	103	0	0
1480017923	160	12	0	0
1480017897	108	7	0	0
1480019323	219	82	0	0
1480018259	166	30	0	0
1480020792	255	214	0	0
1480024109	237	273	0	0
1480020141	467	99	0	0
1480020780	241	178	0	0
1480024024	207	318	0	0
1480023651	189	364	0	0
1480018336	348	32	0	0
1480020172	208	136	0	0
1480023894	497	278	0	0
1480017930	387	19	0	0
1480017801	105	7	0	0
1480020192	405	144	0	0
1480021597	161	2879	0	0
1480019720	373	84	0	0
1480019001	305	74	0	0
1480022007	310	197	0	0
1480021059	420	157	0	0
1480018824	405	64	0	0
1480020215	447	170	0	0
1480022336	138	220	0	0
1480022070	162	182	0	0
1480020165	188	122	0	0
1480019848	466	74	0	0
1480022368	217	227	0	0
1480018501	352	56	0	0
1480018140	318	20	0	0
1480022093	279	210	0	0
1480021304	481	186	0	0
1480022683	446	246	0	0
1480024508	351	370	0	0
1480018525	239	42	0	0
1480018861	478	51	0	0
1480018869	212	40	0	0
1480021429	91	175	0	0
1480020406	113	121	0	0
1480019837	20	141	0	0
1480023550	285	261	0	0
1480018973	11	78	0	0
1480023437	307	307	0	0
1480019156	396	40	0	0
1480021470	481	203	0	0
1480018514	197	53	0	0
1480018973	399	69	0	0
1480020468	492	142	0	0
1480019387	308	93	0	0
1480019683	499	79	0	0
1480023298	243	297	0	0
1480018687	376	28	0	0
1480021452	121	157	0	0
1480023820	68	293	0	0
1480018734	18	21	0	0
1480022548	56	218	0	0
1480019609	306	114	0	0
1480018945	363	65	0	0
1480018416	299	21	0	0
1480018783	429	56	0	0
1480021531	296	172	0	0
1480023924	129	224	0	0
1480017900	296	8	0	0
1480019135	435	42	0	0
1480019371	318	60	0	0
1480018503	437	34	0	0
1480020345	359	161	0	0
1480021008	367	115	0	0
1480021451	292	193	0	0
1480020499	127	171	0	0
1480023844	237	261	0	0
1480022139	315	197	0	0
1480020345	237	94	0	0
1480024736	490	362	0	0
1480020784	429	152	0	0
1480019020	122	97	0	0
1480022960	505	233	0	0
1480017785	405	7	0	0
1480019105	493	44	0	0
1480019257	14	93	0	0
1480017833	210	9	0	0
1480022177	261	194	0	0
1480018770	237	39	0	0
1480018764	280	73	0	0
1480023319	492	280	0	0
1480022441	333	227	0	0
1480023209	333	272	0	0
1480018900	429	60	0	0
1480018367	197	37	0	0
1480018807	251	59	0	0
1480019147	299	42	0	0
1480023375	285	250	0	0
1480018500	362	13	0	0
1480021846	510	137	0	0
1480018578	162	40	0	0
1480019022	88	52	0	0
1480022040	182	188	0	0
1480019634	94	104	0	0
1480023392	349	307	0	0
1480023054	412	238	0	0
1480018186	30	31	0	0
1480020576	111	128	0	0
1480022307	125	242	0	0
1480023922	251	284	0	0
1480022963	494	268	0	0
1480023374	498	292	0	0
1480021972	175	201	0	0
1480019686	429	98	0	0
1480024668	125	332	0	0
1480019342	306	99	0	0
1480022409	241	266	0	0
1480022438	127	282	0	0
1480022180	447	269	0	0
1480021727	164	180	0	0
1480020942	381	216	0	0
1480021443	170	246	0	0
1480018237	30	36	0	0
1480020269	30	138	0	0
1480020783	34	173	0	0
1480019011	56	67	0	0
1480024210	476	309	0	0
1480018582	375	28	0	0
1480018433	166	46	0	0
1480021942	471	253	0	0
1480018613	453	22	0	0
1480018897	361	77	0	0
1480019547	12	87	0	0
1480021831	162	159	0	0
1480023973	50	387	0	0
1480020218	381	181	0	0
1480020118	184	104	0	0
1480021906	501	173	0	0
1480021545	362	163	0	0
1480019462	217	65	0	0
1480023355	326	219	0	0
1480020038	254	106	0	0
1480020050	491	140	0	0
1480020117	130	89	0	0
1480019641	292	95	0	0
1480023069	138	256	0	0
1480017965	195	14	0	0
1480020035	412	105	0	0
1480023882	240	295	0	0
1480020790	216	167	0	0
1480018269	65	30	0	0
1480017823	28	7	0	0
1480020664	438	167	0	0
1480024303	66	220	0	0
1480024000	305	349	0	0
1480022893	249	155	0	0
1480022033	9	241	0	0
1480018517	491	44	0	0
1480019217	69	68	0	0
1480020225	476	156	0	0
1480021199	124	199	0	0
1480017984	363	14	0	0
1480019214	478	72	0	0
1480017985	258	15	0	0
1480019059	397	89	0	0
1480020788	32	140	0	0
1480022756	362	219	0	0
